name,future,major,country,
01,本科,生物,美国,
02,本科,null,中国,
03,本科,数学,美国,
04,本科,null,中国,
05,读研,电子工程,美国,
06,Gap,null,中国,
07,本科,软件工程,中国,
08,读研,null,中国,
09,读研,生物统计,美国,
10,读研,金融数学,英国,
11,本科,数学,中国,
12,读研,计算机,中国,
13,本科,计算机,中国,
14,读研,null,中国,
15,本科,哲学,中国,
16,本科,null,美国,
17,读博,电子工程,中国,
18,读研,统计,美国,
19,读研,计算机,新加坡,
20,Gap,null,中国,
21,本科,null,中国,
22,读博,数学,中国,
23,读博,null,荷兰,
24,本科,null,中国,
25,本科,生物,中国,
26,读博,计算机,美国,
27,本科,医学,中国,
28,本科,计算机,中国,
29,读研,会计,美国,
30,本科,国际贸易,中国,
31,读研,计算机,美国,
32,读研,传媒,美国,
